Dia/Sem;Dia;Local;Categoria;Dispositivo;Receita de produto;Receita de frete;Despesa de Frete;Qtd de pedidos;%Margem do produto;
Dom;12/mar;região I;A;1;3.142.391;21.590;95.041;4.208;16%;
Seg;13/mar;região I;A;1;6.582.332;47.147;196.399;8.801;15%;
Qui;05/jan;Região II;A;1;1.902.026;14.227;38.998;2610;15%;
Sex;06/jan;Região II;A;1;1.421.114;12.194;32.653;2171;14%;
Sáb;07/jan;Região II;A;1;952.736;8.098;22.146;1394;13%;
Dom;08/jan;Região II;A;1;1.125.363;10.092;27.196;1740;11%;
Seg;09/jan;Região II;A;1;1.835.097;15.767;40.542;2591;14%;
Ter;10/jan;Região II;A;1;1.675.875;15.196;40.216;2599;14%;
Qua;11/jan;Região II;A;1;1.606.583;13.785;37.040;2349;14%;
Qui;12/jan;Região II;A;1;1.728.030;14.875;39.417;2522;14%;
Sex;13/jan;Região II;A;1;1.367.769;11.807;30.953;2029;14%;
Sáb;14/jan;Região II;A;1;922.848;8.549;22.945;1432;12%;
Dom;15/jan;Região II;A;1;1.206.794;10.566;29.953;1852;13%;
Seg;16/jan;Região II;A;1;1.659.231;15.125;39.046;2606;13%;
Ter;17/jan;Região II;A;1;1.479.875;12.399;33.400;2187;13%;
Qua;18/jan;Região II;A;1;1.089.910;9.283;26.212;1617;15%;
Qui;19/jan;Região II;A;1;874.435;7.838;22.176;1328;14%;
Sex;20/jan;Região II;A;1;1.347.504;11.469;30.321;1879;12%;
Sáb;21/jan;Região II;A;1;870.645;7.613;20.409;1267;8%;
Dom;22/jan;Região II;A;1;1.065.604;8.631;24.459;1559;9%;
Seg;23/jan;Região II;A;1;1.567.262;12.471;36.840;2245;10%;
Ter;24/jan;Região II;A;1;1.757.217;14.557;40.641;2710;11%;
Qua;25/jan;Região II;A;1;1.706.593;14.091;39.205;2545;12%;
Qui;26/jan;Região II;A;1;1.458.295;12.070;32.855;2202;10%;
Sex;27/jan;Região II;A;1;1.557.758;12.109;36.188;2225;10%;
Sáb;28/jan;Região II;A;1;1.006.159;8.005;24.103;1463;9%;
Dom;29/jan;Região II;A;1;972.151;8.057;23.223;1509;6%;
Seg;30/jan;Região II;A;1;1.465.022;14.768;37.344;2422;8%;
Ter;31/jan;Região II;A;1;1.669.111;15.430;40.740;2591;9%;
Qua;01/fev;Região II;A;1;1.667.529;14.007;37.472;2391;8%;
Qui;02/fev;Região II;A;1;1.535.186;12.805;36.485;2325;7%;
Sex;03/fev;Região II;A;1;1.626.727;12.014;34.512;2298;11%;
Sáb;04/fev;Região II;A;1;934.029;8.445;22.877;1444;11%;
Dom;05/fev;Região II;A;1;972.073;8.130;23.304;1478;11%;
Seg;06/fev;Região II;A;1;1.785.043;15.719;41.105;2757;12%;
Ter;07/fev;Região II;A;1;1.560.449;12.816;35.824;2372;13%;
Qua;08/fev;Região II;A;1;1.291.264;12.063;32.319;2064;12%;
Qui;09/fev;Região II;A;1;1.363.829;9.275;32.365;1933;14%;
Sex;10/fev;Região II;A;1;1.210.062;9.937;28.303;1702;14%;
Sáb;11/fev;Região II;A;1;968.683;7.932;21.638;1321;15%;
Dom;12/fev;Região II;A;1;1.130.819;9.311;26.434;1605;14%;
Seg;13/fev;Região II;A;1;1.934.627;15.476;43.008;2687;14%;
Ter;14/fev;Região II;A;1;1.739.898;14.425;40.914;2506;14%;
Qua;15/fev;Região II;A;1;1.600.259;12.425;36.639;2460;14%;
Qui;16/fev;Região II;A;1;1.267.597;10.498;28.457;1779;15%;
Sex;17/fev;Região II;A;1;1.162.378;9.979;24.557;1667;14%;
Sáb;18/fev;Região II;A;1;716.459;5.705;15.468;978;14%;
Dom;19/fev;Região II;A;1;783.299;6.176;18.571;1086;14%;
Seg;20/fev;Região II;A;1;1.384.106;12.463;33.367;2067;14%;
Ter;21/fev;Região II;A;1;1.429.887;11.790;32.510;2025;14%;
Qua;22/fev;Região II;A;1;1.446.679;11.334;32.048;2037;14%;
Qui;23/fev;Região II;A;1;1.503.100;11.899;33.035;2156;12%;
Sex;24/fev;Região II;A;1;1.616.525;10.911;30.444;1917;14%;
Sáb;25/fev;Região II;A;1;710.972;4.881;14.717;893;13%;
Dom;26/fev;Região II;A;1;780.254;5.852;16.671;966;14%;
Seg;27/fev;Região II;A;1;1.588.927;12.202;34.090;2156;15%;
Ter;28/fev;Região II;A;1;1.196.551;10.201;27.118;1717;15%;
Qua;01/mar;Região II;A;1;1.413.499;10.044;27.752;1744;14%;
Qui;02/mar;Região II;A;1;1.578.948;12.225;33.790;2118;13%;
Sex;03/mar;Região II;A;1;1.747.268;13.404;36.522;2295;15%;
Sáb;04/mar;Região II;A;1;956.083;7.406;20.159;1209;14%;
Dom;05/mar;Região II;A;1;958.860;7.578;22.288;1371;13%;
Seg;06/mar;Região II;A;1;1.625.120;13.496;39.353;2533;16%;
Ter;07/mar;Região II;A;1;1.500.758;12.569;33.773;2268;14%;
Qua;08/mar;Região II;A;1;1.634.111;13.544;36.407;2372;13%;
Qui;09/mar;Região II;A;1;1.611.639;13.133;36.081;2372;13%;
Sex;10/mar;Região II;A;1;1.302.123;10.338;27.878;1829;13%;
Sáb;11/mar;Região II;A;1;845.612;6.517;18.370;1170;13%;
Dom;12/mar;Região II;A;1;815.838;7.219;18.655;1209;13%;
Seg;13/mar;Região II;A;1;1.667.990;14.446;36.188;2452;13%;
Qui;05/jan;Região III;A;1;2.437.154;31.970;111.706;3684;11%;
Sex;06/jan;Região III;A;1;2.649.804;37.025;121.028;4.266;11%;
Sáb;07/jan;Região III;A;1;1.708.716;22.279;79.755;2718;9%;
Dom;08/jan;Região III;A;1;1.536.175;20.505;70.305;2387;10%;
Seg;09/jan;Região III;A;1;2.618.036;36.138;123.428;4.058;11%;
Ter;10/jan;Região III;A;1;2.557.540;34.785;116.513;3.931;12%;
Qua;11/jan;Região III;A;1;2.515.859;32.632;118.670;3.962;12%;
Qui;12/jan;Região III;A;1;2.660.105;40.235;130.736;4.320;11%;
Sex;13/jan;Região III;A;1;2.068.432;33.482;106.270;3380;10%;
Sáb;14/jan;Região III;A;1;1.723.345;25.881;87.122;2780;11%;
Dom;15/jan;Região III;A;1;1.853.664;28.926;94.409;3030;11%;
Seg;16/jan;Região III;A;1;3.008.263;48.123;145.987;4.893;11%;
Ter;17/jan;Região III;A;1;2.419.866;38.683;113.086;3.896;10%;
Qua;18/jan;Região III;A;1;2.192.536;34.005;101.820;3507;12%;
Qui;19/jan;Região III;A;1;1.674.342;26.064;78.566;2668;11%;
Sex;20/jan;Região III;A;1;2.352.062;35.767;107.485;3596;9%;
Sáb;21/jan;Região III;A;1;1.738.568;27.256;82.398;2745;4%;
Dom;22/jan;Região III;A;1;1.240.934;18.941;56.374;1933;8%;
Seg;23/jan;Região III;A;1;2.552.106;40.037;117.796;4.077;7%;
Ter;24/jan;Região III;A;1;2.747.779;42.958;122.842;4.304;9%;
Qua;25/jan;Região III;A;1;2.396.694;38.441;111.072;3846;8%;
Qui;26/jan;Região III;A;1;2.243.191;35.753;107.016;3788;6%;
Sex;27/jan;Região III;A;1;2.038.121;31.800;93.335;3273;5%;
Sáb;28/jan;Região III;A;1;1.318.035;20.113;60.433;2248;6%;
Dom;29/jan;Região III;A;1;1.319.574;20.720;63.778;2252;5%;
Seg;30/jan;Região III;A;1;2.449.629;39.488;118.849;4.000;5%;
Ter;31/jan;Região III;A;1;2.973.369;48.489;146.229;5.024;5%;
Qua;01/fev;Região III;A;1;2.750.031;43.126;130.284;4.466;5%;
Qui;02/fev;Região III;A;1;2.477.998;38.968;119.940;4.027;6%;
Sex;03/fev;Região III;A;1;2.269.334;35.849;110.618;3731;6%;
Sáb;04/fev;Região III;A;1;1.800.733;27.276;84.743;2895;9%;
Dom;05/fev;Região III;A;1;1.321.247;21.839;65.918;2245;9%;
Seg;06/fev;Região III;A;1;2.666.726;44.569;133.557;4.593;9%;
Ter;07/fev;Região III;A;1;2.336.618;39.300;120.727;4.004;9%;
Qua;08/fev;Região III;A;1;2.276.684;38.692;114.638;3.908;10%;
Qui;09/fev;Região III;A;1;2.309.047;39.340;111.730;3831;11%;
Sex;10/fev;Região III;A;1;2.246.328;34.618;99.166;3469;12%;
Sáb;11/fev;Região III;A;1;1.850.001;27.880;80.800;2795;11%;
Dom;12/fev;Região III;A;1;1.372.528;20.169;60.337;2044;11%;
Seg;13/fev;Região III;A;1;2.725.669;43.792;127.342;4.308;12%;
Ter;14/fev;Região III;A;1;2.792.789;43.480;129.868;4.343;12%;
Qua;15/fev;Região III;A;1;2.723.000;44.523;126.804;4.327;11%;
Qui;16/fev;Região III;A;1;2.201.276;35.490;102.760;3515;12%;
Sex;17/fev;Região III;A;1;1.975.603;30.847;85.468;2972;13%;
Sáb;18/fev;Região III;A;1;1.387.207;23.733;61.643;2087;12%;
Dom;19/fev;Região III;A;1;1.143.878;17.613;48.812;1648;13%;
Seg;20/fev;Região III;A;1;2.323.738;39.489;108.701;3673;13%;
Ter;21/fev;Região III;A;1;2.434.520;39.834;108.753;3669;13%;
Qua;22/fev;Região III;A;1;2.349.811;38.728;107.098;3527;12%;
Qui;23/fev;Região III;A;1;2.514.722;41.946;111.039;3792;11%;
Sex;24/fev;Região III;A;1;1.935.257;31.744;83.510;2911;11%;
Sáb;25/fev;Região III;A;1;1.476.836;20.217;56.213;1863;13%;
Dom;26/fev;Região III;A;1;911.912;12.335;34.824;1182;13%;
Seg;27/fev;Região III;A;1;2.195.686;32.400;93.118;3092;13%;
Ter;28/fev;Região III;A;1;1.872.258;31.855;83.074;2795;12%;
Qua;01/mar;Região III;A;1;2.030.385;30.272;84.632;2814;12%;
Qui;02/mar;Região III;A;1;2.188.919;32.865;89.812;3122;13%;
Sex;03/mar;Região III;A;1;1.967.951;30.929;84.753;2938;12%;
Sáb;04/mar;Região III;A;1;1.716.439;26.286;69.930;2472;12%;
Dom;05/mar;Região III;A;1;1.183.392;16.279;47.371;1621;13%;
Seg;06/mar;Região III;A;1;2.163.345;35.519;94.302;3446;12%;
Ter;07/mar;Região III;A;1;2.348.739;37.184;99.672;3569;13%;
Qua;08/mar;Região III;A;1;2.639.499;40.878;111.103;3.969;13%;
Qui;09/mar;Região III;A;1;2.252.842;36.138;99.494;3461;12%;
Sex;10/mar;Região III;A;1;2.027.423;33.261;88.613;3122;12%;
Sáb;11/mar;Região III;A;1;1.536.805;25.510;65.428;2302;11%;
Dom;12/mar;Região III;A;1;959.939;15.886;45.924;1548;12%;
Seg;13/mar;Região III;A;1;1.952.547;33.589;91.657;3153;11%;
Qui;05/jan;Região IV;A;1;766.188;8.852;28.306;1059;15%;
Sex;06/jan;Região IV;A;1;743.789;7.830;27.148;1063;14%;
Sáb;07/jan;Região IV;A;1;447.431;4.811;16.802;604;14%;
Dom;08/jan;Região IV;A;1;471.677;5.671;17.606;662;13%;
Seg;09/jan;Região IV;A;1;924.357;10.503;32.869;1271;14%;
Ter;10/jan;Região IV;A;1;915.359;9.443;30.880;1197;15%;
Qua;11/jan;Região IV;A;1;779.518;9.591;28.053;1090;14%;
Qui;12/jan;Região IV;A;1;776.734;10.146;28.153;1136;14%;
Sex;13/jan;Região IV;A;1;736.824;9.832;24.907;989;15%;
Sáb;14/jan;Região IV;A;1;436.443;5.892;16.108;635;13%;
Dom;15/jan;Região IV;A;1;538.605;7.526;20.638;793;13%;
Seg;16/jan;Região IV;A;1;945.672;13.458;34.261;1351;14%;
Ter;17/jan;Região IV;A;1;895.437;12.614;32.201;1220;14%;
Qua;18/jan;Região IV;A;1;645.897;9.539;22.689;924;15%;
Qui;19/jan;Região IV;A;1;427.538;6.094;15.277;593;14%;
Sex;20/jan;Região IV;A;1;626.688;8.946;22.407;851;13%;
Sáb;21/jan;Região IV;A;1;523.887;6.798;17.844;747;9%;
Dom;22/jan;Região IV;A;1;341.138;4.787;12.285;497;10%;
Seg;23/jan;Região IV;A;1;672.204;10.221;23.419;982;11%;
Ter;24/jan;Região IV;A;1;805.442;11.642;29.080;1201;10%;
Qua;25/jan;Região IV;A;1;810.839;11.469;29.419;1128;10%;
Qui;26/jan;Região IV;A;1;701.601;9.728;25.517;966;10%;
Sex;27/jan;Região IV;A;1;665.521;9.089;23.845;916;8%;
Sáb;28/jan;Região IV;A;1;448.403;5.607;15.516;554;9%;
Dom;29/jan;Região IV;A;1;435.480;6.069;15.439;643;7%;
Seg;30/jan;Região IV;A;1;701.635;10.297;24.771;974;8%;
Ter;31/jan;Região IV;A;1;763.625;11.175;26.849;1124;9%;
Qua;01/fev;Região IV;A;1;690.447;10.344;26.264;1016;8%;
Qui;02/fev;Região IV;A;1;704.669;9.543;24.954;970;8%;
Sex;03/fev;Região IV;A;1;609.003;8.639;23.377;897;9%;
Sáb;04/fev;Região IV;A;1;404.816;5.523;13.467;531;14%;
Dom;05/fev;Região IV;A;1;354.499;5.247;12.088;520;12%;
Seg;06/fev;Região IV;A;1;716.231;10.251;25.882;1024;12%;
Ter;07/fev;Região IV;A;1;670.683;10.918;24.793;1047;12%;
Qua;08/fev;Região IV;A;1;614.535;10.453;22.835;943;12%;
Qui;09/fev;Região IV;A;1;586.535;7.496;20.832;897;14%;
Sex;10/fev;Região IV;A;1;508.079;8.323;18.744;743;16%;
Sáb;11/fev;Região IV;A;1;354.685;4.950;12.633;470;14%;
Dom;12/fev;Região IV;A;1;368.566;5.315;12.359;508;15%;
Seg;13/fev;Região IV;A;1;674.754;9.706;23.959;928;16%;
Ter;14/fev;Região IV;A;1;691.189;10.085;25.921;997;15%;
Qua;15/fev;Região IV;A;1;741.757;11.245;26.046;1043;14%;
Qui;16/fev;Região IV;A;1;531.576;8.022;18.142;732;16%;
Sex;17/fev;Região IV;A;1;529.466;7.958;18.119;758;14%;
Sáb;18/fev;Região IV;A;1;273.879;3.996;9.169;370;15%;
Dom;19/fev;Região IV;A;1;331.053;4.648;11.004;447;15%;
Seg;20/fev;Região IV;A;1;679.766;10.337;24.606;947;15%;
Ter;21/fev;Região IV;A;1;674.249;10.082;23.165;886;15%;
Qua;22/fev;Região IV;A;1;796.298;12.845;26.841;1066;13%;
Qui;23/fev;Região IV;A;1;632.580;9.033;20.022;839;12%;
Sex;24/fev;Região IV;A;1;599.516;8.449;17.612;716;15%;
Sáb;25/fev;Região IV;A;1;394.012;4.070;9.040;366;13%;
Dom;26/fev;Região IV;A;1;245.694;3.316;6.790;281;15%;
Seg;27/fev;Região IV;A;1;600.044;7.446;18.100;701;14%;
Ter;28/fev;Região IV;A;1;500.669;6.771;15.895;647;16%;
Qua;01/mar;Região IV;A;1;638.959;7.892;17.204;701;13%;
Qui;02/mar;Região IV;A;1;577.784;8.577;17.972;705;14%;
Sex;03/mar;Região IV;A;1;493.677;6.312;15.105;624;14%;
Sáb;04/mar;Região IV;A;1;353.791;4.639;10.688;397;14%;
Dom;05/mar;Região IV;A;1;299.581;3.817;8.916;366;15%;
Seg;06/mar;Região IV;A;1;598.606;9.880;22.582;936;14%;
Ter;07/mar;Região IV;A;1;652.118;10.171;20.785;901;14%;
Qua;08/mar;Região IV;A;1;756.326;10.356;23.955;1013;14%;
Qui;09/mar;Região IV;A;1;664.293;10.108;20.565;870;15%;
Sex;10/mar;Região IV;A;1;510.359;7.127;15.810;705;15%;
Sáb;11/mar;Região IV;A;1;469.148;5.938;13.835;551;14%;
Dom;12/mar;Região IV;A;1;265.744;3.765;8.527;366;14%;
Seg;13/mar;Região IV;A;1;730.679;11.807;23.089;1009;14%;
Qui;05/jan;Região V;A;1;605.574;16.059;30.384;870;13%;
Sex;06/jan;Região V;A;1;665.602;17.369;32.875;966;13%;
Sáb;07/jan;Região V;A;1;528.446;14.352;25.904;766;13%;
Dom;08/jan;Região V;A;1;301.952;8.228;16.769;462;12%;
Seg;09/jan;Região V;A;1;718.470;19.543;35.270;1051;13%;
Ter;10/jan;Região V;A;1;677.218;17.508;33.770;997;11%;
Qua;11/jan;Região V;A;1;713.246;19.514;37.113;1078;14%;
Qui;12/jan;Região V;A;1;777.604;21.655;41.819;1205;13%;
Sex;13/jan;Região V;A;1;665.223;17.932;33.765;989;13%;
Sáb;14/jan;Região V;A;1;508.471;14.219;25.538;770;12%;
Dom;15/jan;Região V;A;1;419.836;11.478;21.572;643;13%;
Seg;16/jan;Região V;A;1;857.900;24.005;45.812;1344;14%;
Ter;17/jan;Região V;A;1;796.861;20.959;38.390;1194;13%;
Qua;18/jan;Região V;A;1;577.958;16.270;31.233;901;12%;
Qui;19/jan;Região V;A;1;393.502;10.626;20.015;593;12%;
Sex;20/jan;Região V;A;1;699.791;19.257;36.823;1036;12%;
Sáb;21/jan;Região V;A;1;426.464;11.148;20.773;643;11%;
Dom;22/jan;Região V;A;1;299.832;8.025;15.243;439;10%;
Seg;23/jan;Região V;A;1;634.288;17.697;33.342;951;11%;
Ter;24/jan;Região V;A;1;584.011;15.629;29.045;828;10%;
Qua;25/jan;Região V;A;1;693.570;18.915;33.665;1005;8%;
Qui;26/jan;Região V;A;1;642.927;17.724;33.346;974;9%;
Sex;27/jan;Região V;A;1;651.471;15.930;31.437;859;9%;
Sáb;28/jan;Região V;A;1;353.217;10.102;19.807;570;6%;
Dom;29/jan;Região V;A;1;301.382;8.326;15.521;470;5%;
Seg;30/jan;Região V;A;1;682.539;18.270;37.451;1032;8%;
Ter;31/jan;Região V;A;1;595.238;16.902;32.823;943;7%;
Qua;01/fev;Região V;A;1;629.443;16.164;31.125;932;8%;
Qui;02/fev;Região V;A;1;554.673;16.142;31.369;862;7%;
Sex;03/fev;Região V;A;1;565.637;15.152;29.125;828;7%;
Sáb;04/fev;Região V;A;1;494.063;14.283;27.154;758;11%;
Dom;05/fev;Região V;A;1;291.571;8.084;15.131;435;11%;
Seg;06/fev;Região V;A;1;753.529;21.345;36.434;1140;12%;
Ter;07/fev;Região V;A;1;651.771;19.153;34.876;1028;10%;
Qua;08/fev;Região V;A;1;579.522;17.949;30.037;916;12%;
Qui;09/fev;Região V;A;1;624.333;19.716;32.078;993;13%;
Sex;10/fev;Região V;A;1;512.790;14.714;24.387;747;14%;
Sáb;11/fev;Região V;A;1;355.059;10.290;17.083;485;14%;
Dom;12/fev;Região V;A;1;253.629;7.239;12.158;373;13%;
Seg;13/fev;Região V;A;1;515.593;15.145;26.204;801;13%;
Ter;14/fev;Região V;A;1;607.933;17.440;31.672;909;15%;
Qua;15/fev;Região V;A;1;679.064;19.717;32.886;993;13%;
Qui;16/fev;Região V;A;1;545.037;16.425;29.669;847;13%;
Sex;17/fev;Região V;A;1;516.894;14.652;25.872;732;15%;
Sáb;18/fev;Região V;A;1;327.731;9.114;15.585;454;17%;
Dom;19/fev;Região V;A;1;146.341;4.086;7.698;204;12%;
Seg;20/fev;Região V;A;1;612.649;16.955;29.710;855;13%;
Ter;21/fev;Região V;A;1;486.833;15.307;24.655;732;13%;
Qua;22/fev;Região V;A;1;596.345;17.625;28.384;878;13%;
Qui;23/fev;Região V;A;1;492.878;15.036;24.973;797;12%;
Sex;24/fev;Região V;A;1;450.523;12.037;20.857;616;13%;
Sáb;25/fev;Região V;A;1;319.710;8.511;14.696;420;12%;
Dom;26/fev;Região V;A;1;215.563;5.619;8.894;266;13%;
Seg;27/fev;Região V;A;1;493.998;12.200;21.009;620;13%;
Ter;28/fev;Região V;A;1;446.165;12.366;21.394;624;14%;
Qua;01/mar;Região V;A;1;500.714;13.229;22.075;658;14%;
Qui;02/mar;Região V;A;1;608.002;14.671;26.853;755;14%;
Sex;03/mar;Região V;A;1;588.248;15.970;29.518;812;14%;
Sáb;04/mar;Região V;A;1;432.101;12.304;19.095;608;12%;
Dom;05/mar;Região V;A;1;213.793;5.754;10.086;296;15%;
Seg;06/mar;Região V;A;1;536.787;15.486;25.729;812;13%;
Ter;07/mar;Região V;A;1;628.706;18.638;29.248;963;14%;
Qua;08/mar;Região V;A;1;621.462;17.800;29.173;901;13%;
Qui;09/mar;Região V;A;1;719.124;19.042;31.983;1009;13%;
Sex;10/mar;Região V;A;1;546.598;14.801;25.403;774;14%;
Sáb;11/mar;Região V;A;1;434.983;11.867;20.552;608;12%;
Dom;12/mar;Região V;A;1;268.294;7.376;12.579;377;14%;
Seg;13/mar;Região V;A;1;670.997;18.609;33.419;955;12%;
Qui;05/jan;região I;A;2;404.446;2.376;11.362;474;20%;
Sex;06/jan;região I;A;2;433.040;2.807;10.044;535;19%;
Sáb;07/jan;região I;A;2;372.083;2.828;12.971;489;17%;
Dom;08/jan;região I;A;2;403.547;2.955;13.571;551;18%;
Seg;09/jan;região I;A;2;330.410;2.543;8.836;501;15%;
Ter;10/jan;região I;A;2;444.612;3.238;16.240;558;17%;
Qua;11/jan;região I;A;2;543.747;4.456;14.557;720;15%;
Qui;12/jan;região I;A;2;426.748;2.685;11.448;543;18%;
Sex;13/jan;região I;A;2;353.681;2.325;9.205;458;17%;
Sáb;14/jan;região I;A;2;389.470;1.913;11.370;512;15%;
Dom;15/jan;região I;A;2;388.461;3.001;10.852;574;16%;
Seg;16/jan;região I;A;2;646.492;3.430;16.839;801;18%;
Ter;17/jan;região I;A;2;890.439;4.680;24.737;1028;18%;
Qua;18/jan;região I;A;2;618.900;3.262;19.716;728;16%;
Qui;19/jan;região I;A;2;696.785;3.513;17.874;812;16%;
Sex;20/jan;região I;A;2;704.464;3.866;18.344;855;16%;
Sáb;21/jan;região I;A;2;579.974;3.319;15.767;697;11%;
Dom;22/jan;região I;A;2;487.539;3.141;13.903;655;14%;
Seg;23/jan;região I;A;2;634.849;3.620;17.372;782;15%;
Ter;24/jan;região I;A;2;590.630;3.355;17.196;778;11%;
Qua;25/jan;região I;A;2;661.358;4.136;18.546;847;15%;
Qui;26/jan;região I;A;2;892.587;3.970;26.877;920;14%;
Sex;27/jan;região I;A;2;574.769;3.082;15.971;816;11%;
Sáb;28/jan;região I;A;2;512.620;3.021;15.842;678;12%;
Dom;29/jan;região I;A;2;562.832;3.413;15.344;751;10%;
Seg;30/jan;região I;A;2;685.017;3.358;17.847;905;14%;
Ter;31/jan;região I;A;2;677.993;3.672;18.664;870;11%;
Qua;01/fev;região I;A;2;698.129;4.215;20.285;882;12%;
Qui;02/fev;região I;A;2;725.291;4.141;18.357;909;13%;
Sex;03/fev;região I;A;2;651.504;3.449;18.542;851;11%;
Sáb;04/fev;região I;A;2;481.315;2.887;13.383;662;15%;
Dom;05/fev;região I;A;2;462.200;2.828;12.149;597;15%;
Seg;06/fev;região I;A;2;627.561;3.455;16.972;816;16%;
Ter;07/fev;região I;A;2;430.944;2.753;13.186;662;14%;
Qua;08/fev;região I;A;2;491.950;2.855;13.478;631;16%;
